,F,V,R0,eta,gamma,alpha,,vexp,R0exp,etaexp
103,2.918850939,-15.66198655,-4.887618972,-0.122872928,0.04330862,0.015801039,,1.57792E-07,0.007539353,0.884376035
104,2.979485352,-15.6950384,-4.878703127,-0.128897976,0.039329926,0.033851788,,1.52662E-07,0.007606873,0.879063647
105,2.849957854,-15.65497479,-4.888157708,-0.154007312,0.04128797,0.03144439,,1.58903E-07,0.007535292,0.857265752
106,2.847656979,-15.65550805,-4.888155127,-0.131886358,0.047085533,0.02658555,,1.58818E-07,0.007535311,0.87644059
107,3.037798656,-15.67537136,-4.862085131,-0.119241242,0.0463015,0.044969322,,1.55694E-07,0.00773434,0.88759365
108,2.856795352,-15.63962435,-4.880135386,-0.141612984,0.044640761,0.012445623,,1.61361E-07,0.007595986,0.867957105
109,2.920372392,-15.67451272,-4.88789093,-0.148736941,0.041455328,0.018212253,,1.55828E-07,0.007537302,0.861795788
110,2.913626267,-15.67212463,-4.903094654,-0.125130828,0.045006904,0.020399136,,1.56201E-07,0.007423574,0.882381455
111,2.915170655,-15.67222629,-4.894680369,-0.131281042,0.041353356,0.015149454,,1.56185E-07,0.007486302,0.876971274
112,2.843244954,-15.65611748,-4.889282507,-0.148032592,0.040493543,0.022120145,,1.58721E-07,0.007526821,0.862403007
113,2.925519497,-15.65347447,-4.886055,-0.127911926,0.043624005,0.028339671,,1.59141E-07,0.007551153,0.879930875
114,2.910155608,-15.6375426,-4.889974003,-0.132638533,0.040083629,0.036591603,,1.61697E-07,0.007521618,0.875781601
115,2.780751583,-15.6262985,-4.87387088,-0.131547748,0.040569232,0.050505552,,1.63525E-07,0.00764372,0.876737411
116,2.861049375,-15.66755439,-4.883060254,-0.150929347,0.04422627,0.037348451,,1.56916E-07,0.007573801,0.859908451
117,2.837831501,-15.65396518,-4.88507235,-0.156162347,0.040033798,0.044554622,,1.59063E-07,0.007558577,0.855420304
118,2.829848058,-15.6606261,-4.888183704,-0.136563525,0.050533279,0.025824178,,1.58007E-07,0.007535096,0.872350903
119,2.893520172,-15.6346092,-4.885175931,-0.122528622,0.044721428,0.047963109,,1.62172E-07,0.007557794,0.884680584
120,2.92466635,-15.65521778,-4.878478162,-0.14760311,0.041627656,0.004694355,,1.58864E-07,0.007608584,0.862773473
121,2.909995799,-15.64854068,-4.889926226,-0.13647496,0.040921921,0.029320442,,1.59928E-07,0.007521977,0.872428166
122,2.937326968,-15.698295,-4.893802577,-0.141348196,0.043069049,0.006124952,,1.52166E-07,0.007492876,0.86818696
123,2.896228693,-15.67185889,-4.892029024,-0.138250655,0.044832413,0.025604956,,1.56242E-07,0.007506177,0.870880374
124,2.818632944,-15.63883628,-4.89534162,-0.147276591,0.042713358,0.014443601,,1.61488E-07,0.007481353,0.863055231
125,2.828341376,-15.63958813,-4.883538304,-0.132908024,0.047644722,0.02988665,,1.61366E-07,0.007570181,0.875545617
