,F,V,R0,eta,gamma,alpha,,Vexp,R0exp,etaexp
163,8.665813665,-15.68514818,-4.948711662,-0.146351039,0.047842707,0.058400501,,1.5418E-07,0.007092541,0.863854404
164,8.451756919,-15.69475093,-4.857420922,-0.107827433,0.043673006,0.055533317,,1.52706E-07,0.007770499,0.897782511
165,8.566596159,-15.74239813,-4.915747728,-0.152942513,0.044507034,0.050137999,,1.45601E-07,0.007330235,0.858179055
166,8.577335658,-15.72825039,-4.900495874,-0.149491407,0.044847989,0.039094816,,1.47675E-07,0.007442891,0.861145838
167,8.4847863,-15.68551562,-4.910956603,-0.123132314,0.045478052,0.034135013,,1.54123E-07,0.007365439,0.88414667
168,8.599350064,-15.6968883,-4.923613757,-0.12657102,0.046345096,0.113903797,,1.5238E-07,0.007272801,0.88111157
169,8.566528219,-15.68961197,-4.868335436,-0.122588813,0.045931409,0.055043006,,1.53493E-07,0.007686149,0.884627335
170,8.436766426,-15.68698565,-4.921473084,-0.137553872,0.044201197,0.0092544,,1.53896E-07,0.007288387,0.8714874
171,8.556667171,-15.67366566,-4.895749482,-0.13567678,0.043778968,0.06328096,,1.5596E-07,0.007478302,0.873124799
172,8.470655366,-15.64756799,-4.948233142,-0.13933084,0.045183904,0.126599657,,1.60084E-07,0.007095935,0.86994017
173,8.736296,-15.71885758,-4.904324049,-0.14424217,0.044076227,0.020328053,,1.49069E-07,0.007414453,0.865678082
174,8.541699237,-15.71715457,-4.926004877,-0.139257201,0.04981861,0.094250334,,1.49323E-07,0.007255432,0.870004233
175,8.555452901,-15.67016077,-4.919904402,-0.134072334,0.043918823,0.079090637,,1.56508E-07,0.007299829,0.874526805
176,8.568807307,-15.70890186,-4.906850605,-0.139225567,0.046119054,0.02913798,,1.5056E-07,0.007395744,0.870031756
177,8.585635873,-15.73260413,-4.925476713,-0.14037032,0.041239721,0.156397744,,1.47034E-07,0.007259265,0.869036354
178,8.515030016,-15.70970658,-4.921281634,-0.116277416,0.04514348,0.035403518,,1.50439E-07,0.007289782,0.890228225
179,8.464986221,-15.66834414,-4.924387512,-0.104116055,0.043347102,0.051626587,,1.56792E-07,0.007267176,0.901120712
180,8.581102236,-15.6968177,-4.87906908,-0.119436478,0.0456989,0.062650652,,1.52391E-07,0.00760409,0.887420377
181,8.673642066,-15.66736791,-4.961211319,-0.137215185,0.041405596,0.138660911,,1.56945E-07,0.007004438,0.871782611
