,F,V,R0,eta0,etainf,n,tcr,gamma,alpha
2087,2.950663836774086,-14.52080747068075,-4.514296987463571,3.4700083893401703,-6.99749554692867,-0.24989564710166337,-0.3538362767124293,0.062296173573734466,0.10705277866681748
2088,2.7331428341064203,-14.43156755994738,-4.453722994797453,3.4646861485464515,-6.7619219763280904,-0.2521050148871351,-0.36001529725385284,0.06915340060890343,0.06276187516926279
2089,2.707975318185924,-14.476967909001758,-4.4100024544843635,3.4712578869173996,-6.8981116829700895,-0.2618804722405306,-0.40429574514500943,0.07048121749508046,0.09650502725729697
2090,2.7151224156297693,-14.521867959120655,-4.4125370576892085,3.4634839307520124,-6.521291718241185,-0.2615497604479985,-0.3839824037630619,0.06862099182276765,0.1284413261614649
2091,2.777021241088103,-14.473628261525077,-4.486878777366388,3.467029592134036,-6.397440609934469,-0.26513647157611553,-0.35383017486635915,0.0654656003887434,0.11345186888759118
2092,2.8142408020604557,-14.578216728599159,-4.414599121130401,3.4646817052395993,-6.991778034414955,-0.26197841661889776,-0.43007734425998057,0.06964997058819394,0.08931260383182968
2093,2.7946678127793563,-14.521325520253587,-4.398049526476663,3.4668270790812845,-6.799368354190986,-0.2590741497213432,-0.4376687962424333,0.06671500818600512,0.16060754460137722
2094,2.744445775543457,-14.512883765229445,-4.437291269045592,3.4606676352839894,-7.450033164508284,-0.2503969814115988,-0.3678715814776664,0.06642329846900641,0.07507835511208469
2095,2.7839401893840243,-14.48228516396733,-4.343813141531797,3.4652561850878536,-6.725380457519595,-0.2554352388560355,-0.334671582675177,0.0684739955831784,0.15225534845244576
2096,2.922418390888403,-14.563175067696832,-4.4342416485456955,3.4680013832092347,-7.032359686354001,-0.25419212489971355,-0.3104574974957885,0.0680624282565517,0.07908020668440946
2097,2.641691155921368,-14.504727361587802,-4.513998618405413,3.4674565815982747,-6.790889929536331,-0.25957265493023984,-0.32332725861225564,0.06439102736273468,0.07536742489779483
2098,2.6675557161655927,-14.479272276426528,-4.444503487895945,3.4646790614172214,-7.1424366453367245,-0.258994313688704,-0.23787974789919755,0.06587445173885789,0.12889473294467005
2099,2.774962993666411,-14.56792051705176,-4.485160762880542,3.4602372433883652,-6.494322348052445,-0.26845446425573855,-0.3183052064669523,0.06856467854806725,0.12457514344382269
2100,2.6493046250205348,-14.461019979776323,-4.393562645376616,3.465944701562505,-6.984597285014992,-0.2629025298491099,-0.3187837847116397,0.06851406447161291,0.22013310246566475
2101,2.853114381526971,-14.491215596702629,-4.437255583955818,3.469049073775943,-6.877593350287513,-0.26228967014161486,-0.2724750126849846,0.06621964419011583,0.10497040165211395
2102,2.8363445210311538,-14.548865220604158,-4.3857078169811645,3.4648778434359673,-7.251884494523501,-0.2575965101838485,-0.3526671402717514,0.06677712024917547,0.14127513974940167
2103,2.785656683546245,-14.500319702580525,-4.478593943337402,3.4638205219174982,-7.024751968581064,-0.25677978601583523,-0.395720159505641,0.06565545990072195,0.09005012736517756
2104,2.7628925640246127,-14.507390360838322,-4.450789783583208,3.4623702809960117,-6.9380769042287085,-0.2553260920997946,-0.38343194377137957,0.06839524211788686,0.09228948631647002
2105,2.7443199440890966,-14.473384475142367,-4.406036772333938,3.468598108306793,-6.874078506814952,-0.2642593824744168,-0.37299184450780043,0.06680011617896792,0.14080527802108014
2106,2.7383705715966817,-14.43425368640442,-4.445754716174363,3.4646157253331915,-7.264854537224668,-0.25950353622473993,-0.3972688419715688,0.06606788268529207,0.21308454969713336
